,CSCname,story points,% complete,dateSkeleton,dateAlgorithm,dateVerified,wbsSkeleton,wbsAlgorithm,wbsVerified
1,allSky,97.0,0.0,2018-02-01,2018-02-25,2020-11-18,LIE,LSST ME 18-07.04C.08.02 T&SC-2100-2301,LSST ME 18-07.06C.02.03.C05OMC-060203-51100
36,m2ms,45.0,0.0,2018-08-01,2018-08-01,2019-01-01,0,LSST ME 18-07.04C.11.05 TSS-2030,T&SC-140408-2600
7,atCamera,97.0,90.0,2018-08-01,2018-08-01,2019-01-10,0,LSST ME 18-07.04C.08.03 T&SC-6800-2335,LSST ME 18-07.04C.08.03 T&SC-6800-2342
26,ECS,97.0,0.0,2018-08-20,2018-08-20,2019-04-16,0,LSST ME 18-07.04C.14.04.T1&0SC-140410-2000,LSST ME 18-07.04C.04.01 T&SC-5300-1000
35,m1m3,97.0,70.0,2018-07-01,2018-09-01,2018-10-29,Dummy 2,Dummy 3,LSST ME 18-07.04C.11.09 TSS-2034
40,Rotator,45.0,0.0,2018-10-03,2018-10-03,2018-10-19,0,LSST ME 18-07.04C.05.04 T&SC-5700-1300,LSST ME 18-07.04C.00 T&SC-0400-0700
31,hexapod,45.0,0.0,2018-04-30,2018-10-03,2018-10-19,LSST ME 18-07.04C.05.04 T&SC-5700-1515,LSST ME 18-07.04C.05.04 T&SC-5700-1300,LSST ME 18-07.04C.00 T&SC-0400-0700
17,atSpectrograph,97.0,50.0,2018-07-01,2018-10-15,2018-10-15,Dummy 2,0,LSST ME 18-07.04C.08.03 T&SC-6800-1455
6,atCalibration_Electrometer,97.0,70.0,2018-09-01,2018-12-13,2020-10-05,Dummy 1,LSST ME 18-07.04C.11.03 TSSPP-146,LSST ME 18-07.06C.02.03.C05OMC-060203-51800
11,atM2_Hexapod,45.0,0.0,2019-01-01,2019-01-01,2019-09-24,0,T&SC-140408-2800,LSST ME 18-07.04C.00 T&SC-1150-0600
3,atAOS,97.0,0.0,2019-01-01,2019-01-01,2019-09-24,0,T&SC-140408-2800,LSST ME 18-07.04C.00 T&SC-1150-0600
18,atTCS,97.0,0.0,2019-01-01,2019-01-01,2019-09-24,0,T&SC-140408-2800,LSST ME 18-07.04C.00 T&SC-1150-0600
8,atDome,97.0,0.0,2019-01-01,2019-01-01,2019-09-24,0,T&SC-140408-2800,LSST ME 18-07.04C.00 T&SC-1150-0600
12,atMCS,97.0,0.0,2018-08-14,2019-01-01,2019-09-24,LSST ME 18-07.04C.08.03 T&SC-6800-0300,T&SC-140408-2800,LSST ME 18-07.04C.00 T&SC-1150-0600
14,atPneumatics,97.0,0.0,2019-01-01,2019-01-01,2019-09-24,0,T&SC-140408-2800,LSST ME 18-07.04C.00 T&SC-1150-0600
42,TCS,97.0,0.0,2019-01-01,2019-01-01,2020-06-18,0,T&SC-140408-2600,LSST ME 18-07.04C.14.04 T&SC-1404-1000
39,PointingComponent,45.0,0.0,2018-07-01,2019-02-08,2019-07-01,Dummy 2,LSST ME 18-07.04C.00 T&SC-0400-0500,T&SC-140408-2200
